Site ,Region,Plot#,Lichen,Moss,Road/Trail,Rock,Mineral_Soil,Wood,Litter/Duff,LitterDepth_NWcorner(cm),LitterDepth_SEcorner(cm)
SPNHF_Harmon,NH,1135,0,0,0,0,0,3,8,2.0,1.5
SPNHF_Harmon,NH,1133,0,0,0,0,0,1,8,1.5,1.5
SPNHF_Harmon,NH,1131,0,0,0,0,0,0,8,4.0,2.5
SPNHF_Harmon,NH,1129,0,0,0,0,0,0,8,1.0,3.0
SPNHF_Harmon,NH,1127,0,0,0,0,0,0,8,2.5,4.0
SPNHF_Harmon,NH,1125,0,0,0,0,0,2,8,0.5,10.0
SPNHF_Harmon,NH,1123,0,0,0,0,0,0,8,7.0,2.0
SPNHF_Harmon,NH,1121,0,0,0,0,0,1,8,4.0,4.5
 TNCW_7SW,ME,1008,0,0,0,0,0,2,8,7.0,3.0
 TNCW_7SW,ME,1006,0,1,0,0,0,2,8,6.0,3.0
 TNCW_7SW,ME,1004,0,0,0,0,0,0,8,5.0,4.0
 TNCW_7SW,ME,1002,0,0,0,0,0,0,8,5.0,3.0
 TNCW_7SW,ME,1000,0,1,0,0,0,0,8,2.0,4.0
 TNCW_7SW,ME,998,0,0,0,0,0,2,8,4.0,3.0
 TNCW_7SW,ME,996,0,0,0,0,0,3,8,2.5,3.0
 TNCW_7SW,ME,994,0,0,0,0,0,2,8,4.0,1.0
 TNCW_7SW,ME,992,0,0,0,0,0,1,8,3.0,3.5
 TNCW_7SW,ME,990,0,0,0,0,1,1,8,5.0,1.0
 TNCW_7SW,ME,988,0,0,0,0,0,2,8,5.0,1.5
TNCW_18,ME,1073,0,1,0,0,0,0,8,1.0,2.5
TNCW_18,ME,1071,0,0,0,0,0,2,8,3.0,4.0
TNCW_18,ME,1067,0,0,0,0,0,0,8,6.5,3.5
TNCW_18,ME,1065,0,0,0,0,0,4,8,3.0,5.0
TNCW_18,ME,1045,0,0,0,0,0,4,8,2.0,0.5
TNCW_18,ME,1043,0,0,0,0,0,1,8,4.5,2.5
TNCW_18,ME,1041,0,0,0,0,1,0,8,2.0,2.5
TNCW_18,ME,1039,1,0,0,0,0,1,8,1.0,0.5
TNCW_18,ME,1037,0,0,0,0,0,3,8,7.0,12.5
TNCW_18,ME,1035,0,0,0,0,0,2,8,4.0,4.5
TNCW_18,ME,1033,0,0,0,0,0,0,8,6.0,3.0
TNCW_10SE,ME,1031,0,0,0,0,0,2,8,4.0,3.5
TNCW_10SE,ME,1029,0,0,0,0,0,2,8,4.5,5.0
TNCW_10SE,ME,1027,0,1,0,0,0,0,8,2.5,1.5
TNCW_10SE,ME,1025,0,0,0,0,0,1,8,8.0,7.0
TNCW_10SE,ME,1023,1,1,0,0,0,2,8,7.0,10.0
TNCW_10SE,ME,1021,0,0,0,0,0,2,8,5.5,4.0
TNCW_10SE,ME,1019,0,2,0,0,0,2,8,4.0,5.0
TNCW_10SE,ME,1017,0,0,0,0,0,2,8,6.5,3.0
TNCW_10SE,ME,1015,0,2,0,0,0,1,8,4.0,4.0
TNCW_10SE,ME,1013,0,3,0,0,0,2,8,2.5,2.0
TNCW_10SE,ME,1011,0,0,0,0,0,4,8,6.0,3.0
CE_B7_C,MA,498,1,0,0,3,0,0,8,4.0,5.0
CE_B7_C,MA,496,0,1,0,0,0,0,8,8.0,8.5
CE_B7_C,MA,494,0,0,0,0,0,2,8,4.5,5.5
CE_B7_C,MA,492,0,0,0,0,0,0,8,7.5,6.5
CE_B7_C,MA,490,0,0,0,0,0,0,8,7.0,5.0
CE_B7_C,MA,488,0,0,0,0,0,0,8,6.5,7.5
CE_B7_C,MA,486,0,0,0,0,0,2,8,6.0,5.5
CE_B7_C,MA,484,0,2,0,0,0,2,8,7.0,5.0
CE_B7_C,MA,482,0,0,0,0,0,2,8,6.0,3.5
CE_B7_C,MA,480,0,0,0,0,0,2,8,5.0,4.5
CE_B7_B,MA,477,0,0,0,0,0,0,8,7.0,7.5
CE_B7_B,MA,475,1,2,4,0,0,0,7,4.0,4.0
CE_B7_B,MA,473,0,0,0,0,0,0,8,6.0,5.5
CE_B7_B,MA,471,0,0,0,0,0,1,8,7.0,7.5
CE_B7_B,MA,469,0,0,0,0,1,4,7,7.5,7.5
CE_B7_B,MA,467,0,0,0,0,0,2,8,6.0,7.5
CE_B7_B,MA,465,0,0,0,0,0,0,8,9.0,10.0
CE_B7_B,MA,463,0,0,0,0,0,2,8,6.5,5.5
CE_B7_B,MA,461,0,0,0,0,0,0,8,6.0,5.5
CE_B7_B,MA,459,0,0,0,0,0,2,8,3.5,4.5
CE_B7_B,MA,457,0,0,0,0,0,0,8,5.0,4.5
CE_B7_B,MA,455,0,0,0,0,0,2,8,6.0,7.0
